0,7,intro,i1,a
7,15,exp,1st,b
15,23,exp,1st,c
23,39,exp,tr,d
40,47,exp,tr,d'
48,53,exp,tr,d''
53,67,exp,tr,e
67,101,exp,tr,e'
102,109,exp,2nd,f
109,132.25,exp,2nd,f'
134,144.5,exp,coda,f''
143,151,exp,1st,b
151,159,exp,1st,c
159,175,exp,tr,d
176,183,exp,tr,d'
184,189,exp,tr,d''
189,203,exp,tr,e
203,237,exp,tr,e'
238,245,exp,2nd,f
245,268.25,exp,2nd,f'
270,280.5,exp,2nd,f''
279,292.25,dev,d1,b'
292,304.25,dev,rtr,b''
304,352.5,dev,rtr,b'''
351,359,rec,1st,b
359,367,rec,1st,c
367,391,rec,tr,d'''
392,399,rec,tr,d''''
400,407,rec,tr,d''''
408,425,rec,tr,d'''''
425,439,rec,tr,e
439,473,rec,tr,e''
474,481,rec,2nd,f
481,504.25,rec,2nd,f'
506,545,rec,coda,f'''
547,560.25,dev,d1,b'
560,572.25,dev,rtr,b''
572,620.5,dev,rtr,b'''
619,627,rec,1st,b
627,635,rec,1st,c
635,659,rec,tr,d'''
660,667,rec,tr,d''''
668,675,rec,tr,d''''
676,693,rec,tr,d'''''
693,707,rec,tr,e
707,741,rec,tr,e''
742,749,rec,2nd,f
749,772.25,rec,2nd,f'
774,813,rec,coda,f'''
